sampleid,db_id,program_id,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,state_county,statefips,countyfips_3,countyfips
"USUDMT32221",1,90,"Guilford County","NC","North Carolina","22mar2021","unknown","unknown","unused","DMT",0,0,0,0,0,0,0,0,1,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"04mar2022",3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"USU05052021_1422",2,90,"Guilford County","NC","North Carolina","05may2021","unknown","unknown","unused","crack",0,0,0,1,0,0,1,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"04mar2022",6,5,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"06082021",3,90,"Guilford County","NC","North Carolina","08jun2021","unknown","unknown","unused","heroin",1,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"04mar2022",2,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_01",4,90,"Guilford County","NC","North Carolina","06jul2021","unknown","unknown","unused","xylazine",0,0,1,0,0,0,0,0,0,"cloudy; white",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"04mar2022",2,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01047",5,90,"Guilford County","NC","North Carolina","13jul2021","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","Unknown","",,,,,,,,,,,"","unknown",,,,0,"02mar2022",1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01046",6,90,"Guilford County","NC","North Carolina","13jul2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"02mar2022",2,1,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01063",7,90,"Guilford County","NC","North Carolina","13jul2021","spatula","spatula","unused","heroin; Unknown",1,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03mar2022",8,2,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01027",8,90,"Guilford County","NC","North Carolina","13jul2021","swab","swab","unused","Unknown",0,0,0,0,0,0,0,0,0,"white",0,"crystals",,,,,1,"","","",,,,,,,,,,,"","unknown",,,,0,"03mar2022",3,3,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01019",9,90,"Guilford County","NC","North Carolina","13jul2021","spatula","spatula","unused","DMT",0,0,0,0,0,0,0,0,1,"light orange",1,"",,,,,,"","Sample not used by participant","",,,,,,,,,,,"","unknown",,,,0,"04mar2022",2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01072",10,90,"Guilford County","NC","North Carolina","13jul2021","spatula","spatula","unused","cocaine",0,0,0,1,0,0,1,0,0,"gray; white",0,"grainy; chunky",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"16mar2022",8,2,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01070",11,90,"Guilford County","NC","North Carolina","13jul2021","swab","swab","unused","heroin; unknown",1,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"16mar2022",1,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01066",12,90,"Guilford County","NC","North Carolina","13jul2021","swab","swab","unused","heroin",1,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"16mar2022",6,2,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01052",13,90,"Guilford County","NC","North Carolina","13jul2021","swab","swab","unused","heroin; cocaine",1,0,0,1,0,0,1,0,0,"gray",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"16mar2022",8,3,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01045",14,90,"Guilford County","NC","North Carolina","13jul2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"light brown",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"16mar2022",9,7,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01017",15,90,"Guilford County","NC","North Carolina","13jul2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"light beige",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"16mar2022",6,6,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01011",16,90,"Guilford County","NC","North Carolina","13jul2021","swab","swab","taken","heroin; cocaine",1,0,0,1,0,0,1,0,0,"white",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,,"","unknown",,,,0,"16mar2022",16,9,,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01001",17,90,"Guilford County","NC","North Carolina","13jul2021","swab","swab","unused","heroin",1,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"16mar2022",5,3,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01057",18,90,"Guilford County","NC","North Carolina","20jul2021","unknown","unknown","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"off-white; light brown",0,"",,,,,,"","good","",,,,,1,,,,,,"Fucking awesome","unknown",,,,0,"28mar2022",4,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01020",19,90,"Guilford County","NC","North Carolina","26jul2021","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"tan",0,"grainy",,,,,,"","stronger","stronger",1,,,1,,1,,,,,"Knocked you on your ass/kept me well for a long time. Heard of others who had bad reaction to this batch.","unknown",,,,0,"28feb2022",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01029",20,90,"Guilford County","NC","North Carolina","29jul2021","spatula","spatula","unused","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"flaky",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"22feb2022",6,2,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01012",21,90,"Guilford County","NC","North Carolina","29jul2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"gray",0,"rock",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"28feb2022",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01031",22,90,"Guilford County","NC","North Carolina","30jul2021","unknown","unknown","unused","heroin",1,0,0,0,0,0,0,0,0,"white",0,"",,,,,,"","","",,,,,,,,,,,"sample not used by participant","unknown",,,,0,"28feb2022",1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01041",23,90,"Guilford County","NC","North Carolina","02aug2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"off-white",0,"powder",,,1,,,"","Sample not used by participant","",,,,,,,,,,,"","unknown",,,,0,"28feb2022",1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01009",24,90,"Guilford County","NC","North Carolina","03aug2021","pill","pill","unused","Percocet",1,0,0,0,0,0,0,0,0,"",0,"pill",,1,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"22feb2022",4,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01002",25,90,"Guilford County","NC","North Carolina","03aug2021","spatula","spatula","unused","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"rock",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"22feb2022",1,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC01014",26,90,"Guilford County","NC","North Carolina","12aug2021","unknown","unknown","taken","heroin",1,0,0,0,0,0,0,0,0,"yellow",1,"",,,,,,"","","",,,,,,,,,,,"maybe dissociation","unknown",,,,0,"16mar2022",6,5,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
