substance,samples,pubchemcid,latest
methamphetamine,146,10836,10jul2024
dimethyl sulfone (methylsulfonylmethane MSM),25,6213,10jul2024
fentanyl,7,3345,01may2024
"N,N-Dimethylamphetamine (DMA)",5,20006,17jan2024
cocaine,4,446220,10jul2024
alpha-benzyl-N-methylphenethylamine,4,,21nov2023
4-ANPP,3,88890,01may2024
"1,3-Diacetin",2,66924,08jul2024
ibuprofen,1,3672,07dec2022
delta-8-THC,1,638026,01may2024
amphetamine,1,3007,30jul2023
delta-9-THC,1,16078,01may2024
phenethyl 4-ANPP,1,165365057,18jul2022
ethyl-4-ANPP,1,156346345,18jul2022
xylazine,1,5707,07dec2022
