substance,samples,pubchemcid,latest
methamphetamine,157,10836,31mar2025
fentanyl,59,3345,12mar2025
4-ANPP,48,88890,12mar2025
dimethyl sulfone (methylsulfonylmethane MSM),30,6213,19feb2025
xylazine,25,5707,19feb2025
cocaine,21,446220,12mar2025
phenethyl 4-ANPP,18,165365057,21oct2024
"1,3-Diacetin",15,66924,15jan2025
caffeine,13,2519,05feb2025
lidocaine,11,3676,12mar2025
heroin,11,5462328,16may2024
p-fluorofentanyl,9,62300,11feb2025
acetaminophen,7,1983,10feb2025
despropionyl p-fluorofentanyl,5,21812144,11feb2025
"bis(2,2,6,6-tetramethyl-4-piperidyl) sebacate",5,,12mar2025
non-specific sugars,4,,18jul2022
ethyl-4-ANPP,4,156346345,07mar2025
1-phenyl-1-propanamine,4,18054,19oct2022
p-fluoro phenethyl 4-ANPP,3,165361568,11feb2025
gabapentin,3,3446,15jan2025
acetylcodeine,3,5486550,16aug2022
medetomidine,3,68602,15jan2025
tramadol,3,33741,21mar2023
"3,4-MDMA",3,1615,01may2024
N-phenylpropanamide,3,12107,15jan2025
diphenhydramine,2,3100,12mar2025
N-phenethyl-N-phenylpropionamide,2,,15jan2025
procaine,2,4914,07mar2025
erythritol,2,,12mar2025
6-monoacetylmorphine (6-MAM),2,5462507,21oct2024
delta-8-THC,1,638026,05aug2022
p-fluoroacetyl fentanyl,1,137700043,28sep2022
methyl ecgonidine (MED),1,119478,14nov2022
cannabinol,1,2543,05aug2022
despropionyl ortho-methylfentanyl,1,,21oct2024
N-butyl-aniline,1,14310,29feb2024
p-fluoro norfentanyl,1,,11feb2025
hydrocotarnine,1,3646,19feb2025
mannitol,1,6251,08jul2024
tetracaine,1,,07mar2025
quinine,1,3034034,21oct2024
alpha-benzyl-N-methylphenethylamine,1,,13sep2023
glycerin,1,,12mar2025
non-specific phthalate,1,,22aug2023
MDA,1,1614,30jul2023
delta-9-THC,1,16078,05aug2022
noscapine,1,275196,19feb2025
meconin,1,68437,19feb2025
"N,N-Dimethylamphetamine (DMA)",1,20006,23mar2023
non-specific organic acids,1,,19oct2022
nicotine,1,89594,19jun2024
