sampleid,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,overdose,od,fatal_od,confirmatory,date_complete,primary,trace,lab_null,lab_num_substances_any,lab_num_substances,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,state_county,statefips,countyfips_3,countyfips
"602435","Allegheny County","International","Pennsylvania",19Nov2024,"pill","pill",0,"tramadol",0,0,0,0,0,0,0,0,0,"orange",1,"pill",,1,,,,,"",,,,,,,,,,,"not overdose related","not involved",,0,02Dec2024,1,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"INTERNATIONAL | ALLEGHENY","","",""
"602065","Monroe County","NY","New York",13Oct2024,"spatula","spatula",1,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder",,,1,,,,"normal","normal",,,,,,,,,,"not overdose related","not involved",,0,02Dec2024,1,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NY | MONROE","36","055","36055"
"602240","Monroe County","NY","New York",06Nov2024,"spatula","spatula",1,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder",,,1,,,,"normal","normal",,,,,,,,,,"not overdose related","not involved",,0,02Dec2024,1,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NY | MONROE","36","055","36055"
"602300","Allegheny County","PA","Pennsylvania",03Oct2024,"spatula","spatula",1,"fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"",0,"powder",,,1,,,,"hallucinations",,,1,,,,,,,,"not overdose related","not involved",,0,09Oct2024,1,1,,6,5,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"PA | ALLEGHENY","42","003","42003"
"602802","Allegheny County","PA","Pennsylvania",29Jan2025,"scoop","scoop",0,"fentanyl",1,1,0,0,0,0,0,0,0,"",0,"powder",,,1,,,,"",,,,,,,,,,,"not overdose related","not involved",,0,14Feb2025,1,1,,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"PA | ALLEGHENY","42","003","42003"
"602172","Allegheny County","PA","Pennsylvania",29Aug2024,"spatula","spatula",0,"fentanyl",1,1,0,0,0,0,0,0,0,"",0,"powder",,,1,,,,"",,,,,,,,,,,"not overdose related","not involved",,0,11Sep2024,1,0,,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"PA | ALLEGHENY","42","003","42003"
"602791","Allegheny County","PA","Pennsylvania",17Dec2024,"swab","swab",0,"fentanyl",1,1,0,0,0,0,0,0,0,"",0,"powder",,,1,,,,"",,,,,,,,,,,"not overdose related","not involved",,0,10Jan2025,1,1,,4,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"PA | ALLEGHENY","42","003","42003"
"602497","Allegheny County","PA","Pennsylvania",22Sep2024,"swab","swab",0,"fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"unknown",1,"powder",,,1,,,,"",,,,,,,,,,,"not overdose related","not involved",,0,07Oct2024,1,1,,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"PA | ALLEGHENY","42","003","42003"
"602788","Allegheny County","PA","Pennsylvania",15Dec2024,"scoop","scoop",0,"fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"",0,"powder",,,1,,,,"",,,,,,,,,,,"unknown",,,0,10Jan2025,1,1,,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"PA | ALLEGHENY","42","003","42003"
"602789","Allegheny County","PA","Pennsylvania",15Dec2024,"swab","swab",0,"fentanyl",1,1,0,0,0,0,0,0,0,"",0,"powder",,,1,,,,"",,,,,,,,,,,"not overdose related","not involved",,0,14Jan2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PA | ALLEGHENY","42","003","42003"
"903147","Allegheny County","PA","Pennsylvania",07Jul2024,"spatula","spatula",0,"fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"",0,"powder",,,1,,,,"",,,,,,,,,,,"not overdose related","not involved",,0,07Aug2024,1,0,,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"PA | ALLEGHENY","42","003","42003"
