sampleid,db_id,program,program_id,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,state_county,statefips,countyfips_3,countyfips
"400193",514,"w6f3j",152,"Chimayo","Santa Fe County","NM","New Mexico","18nov2022","spatula","spatula","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; shiny; chunky",,,1,,,"shiny","more up; unpleasant; stronger","stronger",1,,1,,,,,,1,,"","involved in OD",1,,,0,"22nov2022",5,3,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM | SANTA FE COUNTY",35,49,35049
"300922",515,"w6f3j",152,"Santa Fe","Santa Fe County","NM","New Mexico","18nov2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals; powder; flaky; shiny",,,1,,1,"shiny","more down","",,,,1,,,,,,,"had downer effects, supposed to be meth","unknown",,,,0,"23nov2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM | SANTA FE COUNTY",35,49,35049
"400141",516,"w6f3j",152,"Santa Fe","Santa Fe County","NM","New Mexico","18nov2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals; powder; flaky; shiny",,,1,,1,"shiny","more down","",,,,1,,,,,,,"felt like a downer, supposed to be meth","unknown",,,,0,"23nov2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM | SANTA FE COUNTY",35,49,35049
"300932",517,"w6f3j",152,"Espanola","Rio Arriba County","NM","New Mexico","18nov2022","cotton","cotton","unused","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"light brown",0,"tar",1,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"23nov2022",8,4,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"NM | RIO ARRIBA COUNTY",35,39,35039
"300953",595,"w6f3j",152,"Chama","Rio Arriba County","NM","New Mexico","08dec2022","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"tan",0,"",,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM | RIO ARRIBA COUNTY",35,39,35039
"400175",596,"w6f3j",152,"Cerrillos","Santa Fe County","NM","New Mexico","08dec2022","pill","pill","taken","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"dull; fake pill",,1,,,,"dull","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"03jan2023",5,5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"NM | SANTA FE COUNTY",35,49,35049
"400138",597,"w6f3j",152,"Santa Fe","Santa Fe County","NM","New Mexico","29nov2022","pill","pill","taken","fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"blue",1,"fake pill",,1,,,,"","normal","normal",,,,,,,,1,,,"Person smokes, developed unexplained wounds","unknown",,,,0,"03jan2023",3,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"NM | SANTA FE COUNTY",35,49,35049
"300982",734,"w6f3j",152,"Santa Fe","Santa Fe County","NM","New Mexico","17jan2023","spatula","spatula","taken","MDMA",0,0,0,0,0,0,0,0,1,"gray",0,"crystals",,,,,1,"","","",,,,,,,,,,,"haven't tried it yet","not overdose related",0,,,0,"26jan2023",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM | SANTA FE COUNTY",35,49,35049
"300957",735,"w6f3j",152,"Espanola","Rio Arriba County","NM","New Mexico","16dec2022","pill","pill","taken","fentanyl; carfentanil",1,1,0,0,0,0,0,0,0,"red; blue",1,"pill; fake pill",,1,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"26jan2023",4,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"NM | RIO ARRIBA COUNTY",35,39,35039
"400162",736,"w6f3j",152,"Espanola","Rio Arriba County","NM","New Mexico","19dec2022","pill","pill","taken","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"pill; fake pill",,1,,,,"","","",,,,,,,,,,,"found full pill in lobby of our suboxone clinic","unknown",,,,0,"30jan2023",4,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"NM | RIO ARRIBA COUNTY",35,39,35039
