sampleid,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,overdose,od,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,state_county,statefips,countyfips_3,countyfips
"807635","West Palm Beach","Palm Beach County","FL","Florida","24oct2024","cotton","cotton","taken","fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"dark blue",1,"",,,,,,"","sedating","",,,,,,,,,,"not overdose related",0,,1,"04nov2024",13,7,,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"FL | PALM BEACH COUNTY",12,99,12099
"807636","Riviera Beach","Palm Beach County","FL","Florida","24oct2024","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"dark blue",1,"powder",,,1,,,"","more up; sedating","",,,1,,,,,,,"involved in OD",1,,1,"04nov2024",13,8,,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"FL | PALM BEACH COUNTY",12,99,12099
"807637","Lake Worth","Palm Beach County","FL","Florida","24oct2024","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"brown; tan; pink",0,"powder",,,1,,,"","sedating","",,,,,,,,,,"not overdose related",0,,1,"30oct2024",13,6,,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807638","Lake Worth","Palm Beach County","FL","Florida","25oct2024","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal; sedating","normal",,,,1,,,,,,"not overdose related",0,,1,"04nov2024",3,3,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807639","Boynton Beach","Palm Beach County","FL","Florida","24oct2024","unknown","unknown","taken","crack",0,0,0,1,0,0,1,0,0,"off-white",0,"crystals",,,,,1,"","more up","",,,1,,,,,,,"not overdose related",0,,1,"30oct2024",2,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807671","Lake Worth","Palm Beach County","FL","Florida","21oct2024","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,"unknown",,,1,"30oct2024",4,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807672","Lake Worth","Palm Beach County","FL","Florida","25oct2024","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal; sedating","normal",,,,1,,,,,,"not overdose related",0,,1,"06nov2024",3,2,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807673","Lake Worth","Palm Beach County","FL","Florida","25oct2024","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"cloudy; white",0,"powder; fine",,,1,,,"","more down; sedating","",,,,1,,,,,,"unknown",,,1,"06nov2024",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807674","Palm Beach County","Palm Beach County","FL","Florida","22oct2024","cotton","cotton","taken","fentanyl; xylazine; benzodiazepine",1,1,1,0,1,0,0,0,0,"off-white",0,"powder; clumpy",,,1,,,"","sedating","",,,,,,,,,,"not overdose related",0,,1,"06nov2024",8,5,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807675","Lake Worth","Palm Beach County","FL","Florida","20oct2024","unknown","unknown","taken","MDMA; molly",0,0,0,0,0,0,0,0,1,"blue",1,"powder; chalky",,,1,,,"","more up","",,,1,,,,,,,"not overdose related",0,,1,"30oct2024",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807676","West Palm Beach","Palm Beach County","FL","Florida","01nov2024","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"clay",,,,,,"","sedating","",,,,,,,,,,"not overdose related",0,,1,"18nov2024",8,6,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807677","West Palm Beach","Palm Beach County","FL","Florida","01nov2024","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; fine",,,1,,,"","normal; more down; sedating","normal",,,,1,,,,,,"not overdose related",0,,1,"20nov2024",7,5,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807678","Riviera Beach","Palm Beach County","FL","Florida","01nov2024","pill; other","multiple methods","taken","crack",0,0,0,1,0,0,1,0,0,"off-white",0,"oil/wax",,1,,,,"","more up; normal","normal",,,1,,,,,,,"not overdose related",0,,1,"15nov2024",3,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807679","Lake Worth","Palm Beach County","FL","Florida","01nov2024","cotton","cotton","taken","xylazine",0,0,1,0,0,0,0,0,0,"yellow",1,"powder; chunky",,,1,,,"","normal; more down; sedating","normal",,,,1,,,,,,"involved in OD",1,,1,"20nov2024",3,2,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807680","West Palm Beach","Palm Beach County","FL","Florida","31oct2024","pill","pill","taken","fentanyl",1,1,0,0,0,0,0,0,0,"purple; white",1,"powder; dull",,1,1,,,"dull","normal; more down; sedating","normal",,,,1,,,,,,"unknown",,,1,"18nov2024",6,4,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807681","Lake Worth","Palm Beach County","FL","Florida","18oct2024","swab","swab","taken","cocaine",0,0,0,1,0,0,1,0,0,"brown",0,"oil/wax",,,,,,"","more up; nice","",,,1,,1,,,,,"not overdose related",0,,1,"30oct2024",1,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807682","Lake Worth","Palm Beach County","FL","Florida","21oct2024","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,"unknown",,,1,"30oct2024",4,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807683","West Palm Beach","Palm Beach County","FL","Florida","18oct2024","swab","swab","taken","crack",0,0,0,1,0,0,1,0,0,"beige",0,"tar",1,,,,,"","normal","normal",,,,,,,,,,"not overdose related",0,,1,"30oct2024",1,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
"807684","West Palm Beach","Palm Beach County","FL","Florida","08oct2024","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"purple",1,"",,,,,,"","more down; sedating","",,,,1,,,,,,"not overdose related",0,,1,"30oct2024",9,5,,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"FL | PALM BEACH COUNTY",12,99,12099
