sampleid,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,overdose,od,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,state_county,statefips,countyfips_3,countyfips
"500175","Roanoke","","VA","Virginia","15jun2023","syringe","syringe","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder",,,1,,,"","weird","",1,,,,,,,,,"not overdose related",0,,0,"30jun2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"500200","Roanoke","","VA","Virginia","25may2023","cotton","cotton","taken","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"powder",,,1,,,"","weaker","weaker",,,,,,,,,,"not overdose related",0,,0,"30jun2023",9,4,,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"500706","Roanoke","","VA","Virginia","25may2023","cotton","cotton","taken","heroin",1,0,0,0,0,0,0,0,0,"brown; gray",0,"powder",,,1,,,"","weaker","weaker",,,,,,,,,,"not overdose related",0,,0,"30jun2023",8,4,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"500782","Roanoke","","VA","Virginia","25may2023","swab","swab","taken","heroin",1,0,0,0,0,0,0,0,0,"brown; red",0,"powder",,,1,,,"","weaker","weaker",,,,,,,,,,"not overdose related",0,,0,"30jun2023",3,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"500911","Roanoke","","VA","Virginia","15jun2023","syringe","syringe","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"powder",,,1,,,"","unpleasant","",1,,,,,,,,,"not overdose related",0,,0,"23jun2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"601522","Roanoke","","VA","Virginia","14aug2024","swab","swab","taken","heroin",1,0,0,0,0,0,0,0,0,"brown; white",0,"powder",,,1,,,"","more down","",,,,1,,,,,,"unknown",,,0,"22aug2024",12,7,,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"601633","Roanoke","","VA","Virginia","14aug2024","swab","swab","unused","fentanyl",1,1,0,0,0,0,0,0,0,"brown; red",0,"powder",,,1,,,"","","",,,,,,,,,,"unknown",,,0,"22aug2024",6,3,,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"601646","Roanoke","","VA","Virginia","14aug2024","spatula","spatula","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"",,,,,,"","more up","",,,1,,,,,,,"unknown",,,0,"21aug2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"601716","Roanoke","","VA","Virginia","14aug2024","spatula","spatula","unused","fentanyl; cocaine",1,1,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,"","","",,,,,,,,,,"unknown",,,0,"21aug2024",3,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"601719","Roanoke","","VA","Virginia","23may2024","swab","swab","taken","fentanyl; xylazine; benzodiazepine",1,1,1,0,1,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,"involved in OD",1,,0,"03jun2024",4,4,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602520","Martinsville","","VA","Virginia","15dec2024","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","","",,,,,,,,,,"unknown",,,0,"23dec2024",3,2,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
