sampleid,program_mask,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,primary,trace,lab_null,lab_num_substances_any,lab_num_substances,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_designer_benzos_any,lab_benzos_any,lab_nitazenes_any,lab_opiates_opioids_any,lab_synthetic_cannabinoids_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,program_county,lat_program,lon_program,lat,lon,state_county,statefips,countyfips_3,countyfips
"300653",15,"Phoenix","Maricopa County","AZ","Arizona",13Sep2022,"swab","swab",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"opaque",0,"crystals",,,,,1,,"normal; weird; more down","normal",1,,,1,,,,,,"","said they felt sleepy after using but also smoked some fentanyl so?","not overdose related","not involved","",,0,21Sep2022,1,0,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maricopa County",33.4484367,-112.074141,"33.4484367","-112.074141","AZ | MARICOPA","04","013","04013"
"300865",15,"Tempe","Maricopa County","AZ","Arizona",08Oct2022,"unknown","unknown",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"opaque",0,"crystals",,,,,1,,"weaker","weaker",,,,,,,,,,"","","not overdose related","not involved","",,0,18Oct2022,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maricopa County",33.4484367,-112.074141,"33.4255056","-111.940009","AZ | MARICOPA","04","013","04013"
"800998",36,"Oakland","Alameda County","CA","California",25Apr2023,"spatula","spatula",1,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky; flaky",,,1,,,,"nice",,,,,,1,,,,,"","","not overdose related","not involved","",,1,31May2023,1,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.8044557","-122.271356","CA | ALAMEDA","06","001","06001"
"800759",36,"Oakland","Alameda County","CA","California",11Apr2023,"spatula","spatula",1,"crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","weird; unpleasant",,1,,,,,,,,,"","","unknown",,"was reported to cause some strokes",,1,16Apr2023,1,1,,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"",,,"37.8044557","-122.271356","CA | ALAMEDA","06","001","06001"
"800672",36,"Oakland","Alameda County","CA","California",13Apr2023,"spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; flaky",,,1,,,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,23Apr2023,1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.8044557","-122.271356","CA | ALAMEDA","06","001","06001"
"800342",36,"Los Angeles","Los Angeles County","CA","California",23Jan2023,"spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","",,,,,,,,,,,"","","not overdose related","not involved","",,1,30Jan2023,1,1,,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"",,,"34.0536909","-118.242766","CA | LOS ANGELES","06","037","06037"
"400697",21,"Raleigh","Orange County","CA","California",28Mar2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"",0,"crystals; powder",,,1,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,0,31Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wake County",35.7803977,-78.63909889999999,"33.6958476","-117.7731106","CA | ORANGE","06","059","06059"
"400588",21,"Raleigh","Orange County","CA","California",28Mar2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"",0,"powder",,,1,,,,"",,,,,,,,,,,"","","unknown",,"",,0,31Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wake County",35.7803977,-78.63909889999999,"33.6958476","-117.7731106","CA | ORANGE","06","059","06059"
"800852",36,"San Francisco","San Francisco","CA","California",17Apr2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,,,,,,,"meth residue","","not overdose related","not involved","",,1,09May2023,1,1,,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800731",36,"San Francisco","San Francisco","CA","California",11Apr2023,"spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"normal","normal",,,,,,,,,,"","","not overdose related","not involved","",,1,16Apr2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800854",36,"San Francisco","San Francisco","CA","California",04May2023,"spatula","spatula",1,"crack",0,0,0,1,0,0,1,0,0,"white",0,"chunky",,,,,,,"normal","normal",,,,,,,,,,"","good","not overdose related","not involved","",,1,31May2023,1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800712",36,"San Francisco","San Francisco","CA","California",04Apr2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,1,,,,,,"","made participant fall asleep","not overdose related","not involved","",,1,16Apr2023,1,1,,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800806",36,"San Francisco","San Francisco","CA","California",13Apr2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,23Apr2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800397",36,"San Francisco","San Francisco","CA","California",30Mar2023,"spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"normal","normal",,,,,,,,,,"","","not overdose related","not involved","",,1,10Apr2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800335",39,"San Francisco","San Francisco","CA","California",16Feb2023,"spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"normal","normal",,,,,,,,,,"","","not overdose related","not involved","",,1,22Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800906",36,"San Francisco","San Francisco","CA","California",13Apr2023,"spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"normal","normal",,,,,,,,,,"","","not overdose related","not involved","",,1,23Apr2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800380",36,"San Francisco","San Francisco","CA","California",09Mar2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,24Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800148",36,"San Francisco","San Francisco","CA","California",19Dec2022,"spatula","spatula",0,"crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,,"",,,,,,,,,,,"","not good","not overdose related","not involved","",,1,09Jan2023,1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800625",36,"San Francisco","San Francisco","CA","California",08May2023,"spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; flaky",,,1,,,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,31May2023,1,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800370",36,"San Francisco","San Francisco","CA","California",07Feb2023,"spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; flaky",,,1,,,,"",,,,,,,,,,,"","N/A, hasn't used","unknown",,"",,1,17Mar2023,1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800391",36,"San Francisco","San Francisco","CA","California",02Mar2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,24Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800552",36,"San Francisco","San Francisco","CA","California",18Apr2023,"spatula","spatula",0,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,09May2023,1,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800138",36,"San Francisco","San Francisco","CA","California",03Jan2023,"spatula","spatula",1,"cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; flaky",,,1,,,,"normal","normal",,,,,,,,,,"","cleaner","not overdose related","not involved","",,1,25Jan2023,1,1,,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800842",36,"San Francisco","San Francisco","CA","California",07Apr2023,"spatula","spatula",1,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"normal; nice","normal",,,,,1,,,,,"","","not overdose related","not involved","",,1,16Apr2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800314",36,"San Francisco","San Francisco","CA","California",20Apr2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,09May2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800324",36,"San Francisco","San Francisco","CA","California",14Feb2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,,,,,,,"","nothing of note","not overdose related","not involved","",,1,21Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800128",36,"San Francisco","San Francisco","CA","California",17Jan2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,26Jan2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800365",36,"San Francisco","San Francisco","CA","California",06Apr2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,16Apr2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800304",36,"San Francisco","San Francisco","CA","California",14Feb2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,,,,,,,"","NA","not overdose related","not involved","",,1,21Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800302",36,"San Francisco","San Francisco","CA","California",02Mar2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"",,,,,,,,,,,"","felt calm, this was unnerving","not overdose related","not involved","",,1,24Mar2023,1,1,,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800111",36,"San Francisco","San Francisco","CA","California",22Dec2022,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,,,,,,,"","n/a","not overdose related","not involved","",,1,09Jan2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800347",36,"San Francisco","San Francisco","CA","California",13Mar2023,"spatula","spatula",0,"crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,24Mar2023,1,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800407",36,"San Francisco","San Francisco","CA","California",01May2023,"spatula","spatula",0,"crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,31May2023,1,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800322",36,"San Francisco","San Francisco","CA","California",,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"colorless",1,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,30Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800350",36,"San Francisco","San Francisco","CA","California",13Feb2023,"spatula","spatula",0,"crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,,"",,,,,,,,,,,"","NA","not overdose related","not involved","",,1,17Mar2023,1,1,,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800362",39,"San Francisco","San Francisco","CA","California",23Feb2023,"spatula","spatula",1,"methamphetamine",0,0,0,1,1,1,0,0,0,"",0,"crystals",,,,,1,,"normal","normal",,,,,,,,,,"","small hits made it feel like a benzo","not overdose related","not involved","",,1,22Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
"800364",36,"San Francisco","San Francisco","CA","California",02Mar2023,"spatula","spatula",0,"methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,,"",,,,,,,,,,,"","","not overdose related","not involved","",,1,24Mar2023,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,,"37.7790262","-122.419906","CA | SAN FRANCISCO","06","075","06075"
